ExCluster_ID	GeneID	Coordinate	Species	Membership_score
GF_000224.004	ENSG00000174233	chr12:48777615-48777736:-	hg38	0.190
GF_000224.004	FBgn0023416	chr2L:21635092-21635210:+	dm6	0.330
GF_000224.004	FBgn0052305	chr3L:2249590-2249723:+	dm6	0.030
GF_000224.004	FBgn0263131	chr3L:16515857-16515978:-	dm6	0.670
GF_000224.004	WBGene00000071	chrV:5629079-5629249:-	ce11	0.050
GF_000224.005	ENSG00000078295	chr5:7695752-7695816:+	hg38	0.150
GF_000224.005	ENSG00000121281	chr16:50294640-50294751:+	hg38	0.120
GF_000224.005	ENSG00000129467	chr14:24331018-24331129:-	hg38	0.120
GF_000224.005	ENSG00000138031	chr2:24841556-24841636:-	hg38	0.190
GF_000224.005	ENSG00000155897	chr8:130943351-130943462:-	hg38	0.120
GF_000224.005	ENSG00000164742	chr7:45622632-45622743:+	hg38	0.120
GF_000224.005	ENSG00000173175	chr3:123332564-123332675:-	hg38	0.120
GF_000224.005	ENSG00000174233	chr12:48777410-48777521:-	hg38	0.120
GF_000224.005	FBgn0023416	chr2L:21635620-21635731:+	dm6	0.710
GF_000224.005	FBgn0024150	chr3L:21144648-21144737:-	dm6	0.030
GF_000224.005	FBgn0040507	chr3L:2238428-2238550:+	dm6	0.030
GF_000224.005	FBgn0263131	chr3L:16514357-16514449:-	dm6	0.030
GF_000224.006	ENSG00000078295	chr5:7698247-7698374:+	hg38	0.290
GF_000224.006	ENSG00000121281	chr16:50298904-50299031:+	hg38	0.180
GF_000224.006	ENSG00000129467	chr14:24330168-24330295:-	hg38	0.250
GF_000224.006	ENSG00000138031	chr2:24841259-24841386:-	hg38	0.250
GF_000224.006	ENSG00000155897	chr8:130937073-130937200:-	hg38	0.250
GF_000224.006	ENSG00000164742	chr7:45648670-45648797:+	hg38	0.250
GF_000224.006	ENSG00000173175	chr3:123330889-123331016:-	hg38	0.290
GF_000224.006	ENSG00000174233	chr12:48777104-48777231:-	hg38	0.250
GF_000224.006	FBgn0003301	chrX:14799950-14800077:-	dm6	0.220
GF_000224.006	FBgn0004852	chr3L:19966734-19966861:+	dm6	0.610
GF_000224.006	FBgn0023416	chr2L:21637659-21637786:+	dm6	0.690
GF_000224.006	FBgn0024150	chr3L:21144184-21144345:-	dm6	0.030
GF_000224.006	WBGene00000069	chrV:5977490-5977729:+	ce11	0.050
GF_000224.007	ENSG00000078295	chr5:7706744-7706902:+	hg38	0.270
GF_000224.007	ENSG00000121281	chr16:50300715-50300873:+	hg38	0.170
GF_000224.007	ENSG00000129467	chr14:24329860-24330018:-	hg38	0.230
GF_000224.007	ENSG00000138031	chr2:24839873-24840031:-	hg38	0.270
GF_000224.007	ENSG00000155897	chr8:130909708-130909866:-	hg38	0.200
GF_000224.007	ENSG00000164742	chr7:45657727-45657885:+	hg38	0.330
GF_000224.007	ENSG00000173175	chr3:123328644-123328802:-	hg38	0.230
GF_000224.007	ENSG00000174233	chr12:48776428-48776586:-	hg38	0.270
GF_000224.007	FBgn0003301	chrX:14799281-14799584:-	dm6	0.030
GF_000224.007	FBgn0004852	chr3L:19969082-19969240:+	dm6	0.220
GF_000224.007	FBgn0023416	chr2L:21637958-21638116:+	dm6	0.610
GF_000224.007	FBgn0040507	chr3L:2240759-2241044:+	dm6	0.030
GF_000224.007	FBgn0263131	chr3L:16512965-16513123:-	dm6	0.640
GF_000224.007	WBGene00000071	chrV:5628189-5628587:-	ce11	0.140
GF_000224.008	ENSG00000078295	chr5:7727164-7727261:+	hg38	0.050
GF_000224.008	ENSG00000121281	chr16:50307050-50307147:+	hg38	0.050
GF_000224.008	ENSG00000129467	chr14:24325377-24325474:-	hg38	0.050
GF_000224.008	ENSG00000155897	chr8:130867846-130867946:-	hg38	0.050
GF_000224.008	ENSG00000164742	chr7:45678166-45678263:+	hg38	0.150
GF_000224.008	ENSG00000173175	chr3:123318020-123318117:-	hg38	0.150
GF_000224.008	ENSG00000174233	chr12:48774957-48775054:-	hg38	0.150
GF_000224.008	FBgn0263131	chr3L:16510337-16510434:-	dm6	0.410
GF_000224.009	ENSG00000078295	chr5:7743668-7743752:+	hg38	0.050
GF_000224.009	ENSG00000121281	chr16:50308327-50308411:+	hg38	0.140
GF_000224.009	ENSG00000138031	chr2:24831662-24831733:-	hg38	0.180
GF_000224.009	ENSG00000173175	chr3:123314235-123314322:-	hg38	0.140
GF_000224.009	ENSG00000174233	chr12:48774691-48774778:-	hg38	0.140
GF_000224.009	FBgn0263131	chr3L:16510018-16510108:-	dm6	0.430
GF_000224.009	WBGene00000071	chrV:5627018-5627185:-	ce11	0.030
GF_000224.010	ENSG00000078295	chr5:7757449-7757586:+	hg38	0.050
GF_000224.010	ENSG00000121281	chr16:50308667-50308792:+	hg38	0.050
GF_000224.010	ENSG00000173175	chr3:123304067-123304183:-	hg38	0.150
GF_000224.010	FBgn0263131	chr3L:16509829-16509942:-	dm6	0.210
GF_000224.011	ENSG00000078295	chr5:7766687-7766806:+	hg38	0.080
GF_000224.011	ENSG00000121281	chr16:50309548-50309646:+	hg38	0.080
GF_000224.011	ENSG00000129467	chr14:24323344-24323454:-	hg38	0.040
GF_000224.011	ENSG00000155897	chr8:130847424-130847513:-	hg38	0.080
GF_000224.011	ENSG00000173175	chr3:123303055-123303219:-	hg38	0.120
GF_000224.011	ENSG00000174233	chr12:48773940-48774098:-	hg38	0.040
GF_000224.011	FBgn0052301	chr3L:2246954-2247043:+	dm6	0.100
GF_000224.011	FBgn0052305	chr3L:2251068-2251157:+	dm6	0.100
GF_000224.011	FBgn0263131	chr3L:16508465-16508614:-	dm6	0.170
GF_000224.012	ENSG00000078295	chr5:7772932-7773101:+	hg38	0.150
GF_000224.012	ENSG00000121281	chr16:50310687-50310880:+	hg38	0.050
GF_000224.012	ENSG00000155897	chr8:130836277-130836449:-	hg38	0.050
GF_000224.012	FBgn0263131	chr3L:16507905-16508065:-	dm6	0.210
GF_000224.013	ENSG00000078295	chr5:7784365-7784449:+	hg38	0.050
GF_000224.013	FBgn0004852	chr3L:19974669-19974831:+	dm6	0.050
GF_000224.014	ENSG00000078295	chr5:7785042-7785143:+	hg38	0.050
GF_000224.014	ENSG00000078295	chr5:7804585-7804692:+	hg38	0.050
GF_000224.014	ENSG00000121281	chr16:50313958-50314062:+	hg38	0.050
GF_000224.014	ENSG00000129467	chr14:24319329-24319436:-	hg38	0.050
GF_000224.014	ENSG00000138031	chr2:24822511-24822630:-	hg38	0.050
GF_000224.014	ENSG00000155897	chr8:130785383-130785475:-	hg38	0.050
GF_000224.014	ENSG00000164742	chr7:45704518-45704616:+	hg38	0.050
GF_000224.014	FBgn0004852	chr3L:19975371-19975475:+	dm6	0.220
GF_000224.015	ENSG00000078295	chr5:7815229-7815519:+	hg38	0.080
GF_000224.015	FBgn0004852	chr3L:19976091-19976333:+	dm6	0.170
GF_000224.015	WBGene00000069	chrV:5980222-5980593:+	ce11	0.050
GF_000224.015	WBGene00000071	chrV:5625341-5625577:-	ce11	0.140
GF_000224.016	ENSG00000078295	chr5:7820565-7820689:+	hg38	0.050
GF_000224.016	ENSG00000121281	chr16:50315014-50315138:+	hg38	0.050
GF_000224.016	ENSG00000129467	chr14:24318654-24318778:-	hg38	0.050
GF_000224.016	ENSG00000138031	chr2:24820724-24820796:-	hg38	0.050
GF_000224.016	ENSG00000164742	chr7:45710528-45710652:+	hg38	0.050
GF_000224.016	ENSG00000173175	chr3:123286685-123286809:-	hg38	0.050
GF_000224.016	ENSG00000174233	chr12:48768937-48769061:-	hg38	0.050
GF_000224.016	FBgn0263131	chr3L:16504322-16504446:-	dm6	0.220
GF_000224.017	ENSG00000078295	chr5:7826719-7826868:+	hg38	0.090
GF_000224.017	ENSG00000121281	chr16:50315359-50315502:+	hg38	0.090
GF_000224.017	ENSG00000129467	chr14:24318419-24318568:-	hg38	0.090
GF_000224.017	ENSG00000138031	chr2:24819935-24820114:-	hg38	0.090
GF_000224.017	ENSG00000164742	chr7:45713693-45713992:+	hg38	0.090
GF_000224.017	ENSG00000173175	chr3:123284611-123284736:-	hg38	0.090
GF_000224.017	ENSG00000174233	chr12:48768594-48768716:-	hg38	0.090
GF_000224.017	FBgn0004852	chr3L:19976864-19976992:+	dm6	0.290
GF_000224.017	WBGene00000071	chrV:5624939-5625079:-	ce11	0.290
GF_000224.018	ENSG00000121281	chr16:50301082-50301214:+	hg38	0.040
GF_000224.018	ENSG00000129467	chr14:24329401-24329533:-	hg38	0.080
GF_000224.018	ENSG00000138031	chr2:24838445-24838622:-	hg38	0.040
GF_000224.018	ENSG00000155897	chr8:130903772-130904042:-	hg38	0.120
GF_000224.018	ENSG00000173175	chr3:123327618-123327759:-	hg38	0.080
GF_000224.018	ENSG00000174233	chr12:48776209-48776350:-	hg38	0.150
GF_000224.018	FBgn0023416	chr2L:21638230-21638368:+	dm6	0.160
GF_000224.018	FBgn0024150	chr3L:21141091-21141231:-	dm6	0.030
GF_000224.018	FBgn0263131	chr3L:16511031-16511175:-	dm6	0.220
GF_000224.018	WBGene00000071	chrV:5627486-5627684:-	ce11	0.060
GF_000224.019	ENSG00000129467	chr14:24322066-24322224:-	hg38	0.050
GF_000224.019	ENSG00000155897	chr8:130814069-130814227:-	hg38	0.150
GF_000224.019	WBGene00000069	chrV:5979484-5979642:+	ce11	0.180
GF_000224.020	ENSG00000138031	chr2:24834485-24834646:-	hg38	0.050
GF_000224.020	FBgn0023416	chr2L:21639642-21640005:+	dm6	0.050
GF_000224.021	ENSG00000138031	chr2:24834794-24834936:-	hg38	0.050
GF_000224.021	WBGene00000069	chrV:5978538-5978626:+	ce11	0.050
GF_000224.022	ENSG00000155897	chr8:130780393-130780877:-	hg38	0.180
GF_000224.022	FBgn0052301	chr3L:2248146-2248480:+	dm6	0.050
GF_000224.022	FBgn0052305	chr3L:2252248-2252726:+	dm6	0.150
GF_000224.023	ENSG00000155897	chr8:130849602-130849803:-	hg38	0.120
GF_000224.023	FBgn0004852	chr3L:19973636-19973843:+	dm6	0.050
GF_000224.023	FBgn0052301	chr3L:2246654-2246900:+	dm6	0.050
GF_000224.023	FBgn0052305	chr3L:2250769-2251015:+	dm6	0.050
GF_000224.024	ENSG00000164742	chr7:45662059-45662214:+	hg38	0.050
GF_000224.024	ENSG00000173175	chr3:123325322-123325462:-	hg38	0.050
GF_000224.024	ENSG00000174233	chr12:48775963-48776091:-	hg38	0.050
GF_000224.024	FBgn0003301	chrX:14798875-14799165:-	dm6	0.120
GF_000224.025	ENSG00000164742	chr7:45685962-45686215:+	hg38	0.050
GF_000224.025	FBgn0004852	chr3L:19974268-19974581:+	dm6	0.050
GF_000224.026	ENSG00000173175	chr3:123416184-123416267:-	hg38	0.050
GF_000224.026	WBGene00000071	chrV:5629848-5629946:-	ce11	0.050
GF_000224.027	ENSG00000129467	chr14:24332791-24332988:-	hg38	0.050
GF_000224.027	FBgn0004852	chr3L:19964622-19964819:+	dm6	0.050
GF_000224.028	ENSG00000129467	chr14:24322624-24322708:-	hg38	0.050
GF_000224.028	FBgn0023416	chr2L:21641249-21641324:+	dm6	0.050
GF_000226.001	ENSG00000142549	chr19:51311848-51311926:+	hg38	0.100
GF_000226.001	ENSG00000182667	chr11:131660994-131661048:+	hg38	0.100
GF_000226.001	FBgn0039617	chr3R:28927684-28927771:-	dm6	0.110
GF_000226.001	FBgn0051814	chr2L:13713973-13714138:-	dm6	0.050
GF_000226.001	FBgn0259714	chr2L:6408245-6408383:-	dm6	0.050
GF_000226.002	ENSG00000142549	chr19:51326764-51326898:+	hg38	0.540
GF_000226.002	ENSG00000172260	chr1:71698008-71698139:-	hg38	0.630
GF_000226.002	ENSG00000182667	chr11:132307689-132307823:+	hg38	0.800
GF_000226.002	ENSG00000183715	chr11:132437222-132437359:-	hg38	0.400
GF_000226.002	ENSG00000185565	chr3:115852483-115852617:-	hg38	0.600
GF_000226.002	FBgn0031725	chr2L:5606039-5606167:-	dm6	0.480
GF_000226.002	FBgn0039617	chr3R:28926717-28926845:-	dm6	0.590
GF_000226.002	FBgn0051646	chr2L:5635656-5635784:-	dm6	0.670
GF_000226.002	FBgn0051708	chr2L:9059471-9059599:-	dm6	0.410
GF_000226.002	FBgn0051814	chr2L:13689356-13689484:-	dm6	0.560
GF_000226.002	FBgn0052791	chrX:3519825-3519953:-	dm6	0.560
GF_000226.002	FBgn0259245	chrX:21431598-21431726:-	dm6	0.480
GF_000226.002	FBgn0259714	chr2L:6385903-6386031:-	dm6	0.440
GF_000226.002	FBgn0267428	chr2R:547232-547363:+	dm6	0.370
GF_000226.002	WBGene00004372	chrI:9568102-9568230:-	ce11	0.720
GF_000226.003	ENSG00000142549	chr19:51327080-51327200:+	hg38	0.240
GF_000226.003	ENSG00000172260	chr1:71592817-71592968:-	hg38	0.200
GF_000226.003	ENSG00000172260	chr1:71611026-71611146:-	hg38	0.080
GF_000226.003	ENSG00000182667	chr11:132310112-132310232:+	hg38	0.080
GF_000226.003	ENSG00000182667	chr11:132314552-132314703:+	hg38	0.040
GF_000226.003	ENSG00000183715	chr11:132436086-132436237:-	hg38	0.080
GF_000226.003	ENSG00000183715	chr11:132436659-132436779:-	hg38	0.080
GF_000226.003	ENSG00000185565	chr3:115841845-115841993:-	hg38	0.080
GF_000226.003	ENSG00000185565	chr3:115842458-115842578:-	hg38	0.080
GF_000226.003	FBgn0039617	chr3R:28926167-28926365:-	dm6	0.090
GF_000226.003	FBgn0051708	chr2L:9055020-9055162:-	dm6	0.180
GF_000226.003	FBgn0051708	chr2L:9055262-9055412:-	dm6	0.210
GF_000226.003	FBgn0259714	chr2L:6380648-6380790:-	dm6	0.090
GF_000226.003	FBgn0259714	chr2L:6385684-6385834:-	dm6	0.150
GF_000226.004	ENSG00000142549	chr19:51327732-51327886:+	hg38	0.060
GF_000226.004	FBgn0039617	chr3R:28925913-28926061:-	dm6	0.060
GF_000226.005	ENSG00000142549	chr19:51328671-51328756:+	hg38	0.060
GF_000226.005	ENSG00000182667	chr11:132335046-132335143:+	hg38	0.150
GF_000226.005	ENSG00000183715	chr11:132420196-132420293:-	hg38	0.240
GF_000226.005	ENSG00000183715	chr11:132435159-132435185:-	hg38	0.150
GF_000226.005	ENSG00000185565	chr3:115810320-115810414:-	hg38	0.060
GF_000226.005	FBgn0031725	chr2L:5602977-5603173:-	dm6	0.100
GF_000226.005	FBgn0031725	chr2L:5604591-5604644:-	dm6	0.070
GF_000226.005	FBgn0031837	chr2L:6617143-6617231:-	dm6	0.100
GF_000226.005	FBgn0039617	chr3R:28925490-28925602:-	dm6	0.170
GF_000226.005	FBgn0039617	chr3R:28925742-28925801:-	dm6	0.070
GF_000226.005	FBgn0051814	chr2L:13683123-13683209:-	dm6	0.030
GF_000226.005	FBgn0051814	chr2L:13684204-13684263:-	dm6	0.030
GF_000226.005	WBGene00004372	chrI:9565495-9565577:-	ce11	0.280
GF_000226.005	WBGene00004372	chrI:9566694-9566738:-	ce11	0.100
GF_000226.006	ENSG00000172260	chr1:71407449-71407570:-	hg38	0.110
GF_000226.006	FBgn0051708	chr2L:9053298-9053429:-	dm6	0.060
GF_000226.006	FBgn0259714	chr2L:6378843-6379027:-	dm6	0.060
GF_000226.007	ENSG00000142549	chr19:51325346-51325465:+	hg38	0.140
GF_000226.007	ENSG00000172260	chr1:71776172-71776297:-	hg38	0.450
GF_000226.007	ENSG00000182667	chr11:132212022-132212147:+	hg38	0.380
GF_000226.007	ENSG00000183715	chr11:132529061-132529186:-	hg38	0.280
GF_000226.007	ENSG00000185565	chr3:116019515-116019640:-	hg38	0.380
GF_000226.007	FBgn0031725	chr2L:5608791-5608949:-	dm6	0.220
GF_000226.007	FBgn0039617	chr3R:28926898-28927071:-	dm6	0.300
GF_000226.007	FBgn0051646	chr2L:5636734-5636892:-	dm6	0.370
GF_000226.007	FBgn0051708	chr2L:9059692-9059850:-	dm6	0.480
GF_000226.007	FBgn0051814	chr2L:13689590-13689745:-	dm6	0.410
GF_000226.007	FBgn0259714	chr2L:6386089-6386247:-	dm6	0.370
GF_000226.007	WBGene00004372	chrI:9571024-9571185:-	ce11	0.460
GF_000226.008	ENSG00000172260	chr1:71935079-71935103:-	hg38	0.110
GF_000226.008	FBgn0051646	chr2L:5640287-5640348:-	dm6	0.060
GF_000226.008	FBgn0051814	chr2L:13689845-13689884:-	dm6	0.060
GF_000226.009	ENSG00000182667	chr11:131370807-131370888:+	hg38	0.100
GF_000226.009	ENSG00000183715	chr11:133532264-133532324:-	hg38	0.070
GF_000226.009	FBgn0031725	chr2L:5613374-5613494:-	dm6	0.040
GF_000226.009	FBgn0031837	chr2L:6621426-6621510:-	dm6	0.130
GF_000226.009	FBgn0052791	chrX:3530315-3530420:-	dm6	0.220
GF_000226.009	FBgn0259245	chrX:21442422-21442668:-	dm6	0.040
GF_000226.009	FBgn0267428	chr2R:432340-432460:+	dm6	0.170
GF_000226.009	WBGene00004372	chrI:9573859-9573934:-	ce11	0.170
GF_000226.009	WBGene00004372	chrI:9574149-9574377:-	ce11	0.140
GF_000226.010	ENSG00000182667	chr11:132317655-132317690:+	hg38	0.060
GF_000226.010	FBgn0031837	chr2L:6617293-6617364:-	dm6	0.060
GF_000226.011	ENSG00000185565	chr3:116086324-116086561:-	hg38	0.140
GF_000226.011	FBgn0051708	chr2L:9060710-9060926:-	dm6	0.060
GF_000226.011	FBgn0051814	chr2L:13690084-13690289:-	dm6	0.060
GF_000226.011	FBgn0259714	chr2L:6391128-6391344:-	dm6	0.060
GF_000226.012	FBgn0031725	chr2L:5612886-5612983:-	dm6	0.060
GF_000226.012	FBgn0051646	chr2L:5641855-5641952:-	dm6	0.060
GF_000226.012	FBgn0051708	chr2L:9062400-9062506:-	dm6	0.060
GF_000226.012	FBgn0052791	chrX:3523922-3524031:-	dm6	0.180
GF_000226.012	FBgn0259245	chrX:21441618-21441724:-	dm6	0.180
GF_000226.012	FBgn0259714	chr2L:6394837-6394943:-	dm6	0.060
GF_000226.012	FBgn0267428	chr2R:438894-439012:+	dm6	0.180
GF_000226.012	WBGene00004372	chrI:9572480-9572554:-	ce11	0.450
GF_000227.001	FBgn0034286	chr2R:17976394-17976530:-	dm6	0.270
GF_000227.001	FBgn0040823	chr3L:10113188-10113225:+	dm6	0.090
GF_000227.001	FBgn0053481	chr4:249602-249735:-	dm6	0.270
GF_000227.001	FBgn0053516	chr2L:2059856-2059983:-	dm6	0.270
GF_000227.001	FBgn0260995	chr2R:3190861-3190952:+	dm6	0.270
GF_000227.001	WBGene00006985	chrIII:13133726-13133808:+	ce11	0.680
GF_000227.002	FBgn0034286	chr2R:18007034-18007148:-	dm6	0.090
GF_000227.002	FBgn0040726	chr2R:20699186-20699270:+	dm6	0.270
GF_000227.002	FBgn0040823	chr3L:10004032-10004101:+	dm6	0.090
GF_000227.002	FBgn0052057	chr3L:10182243-10182282:-	dm6	0.270
GF_000227.002	FBgn0052600	chrX:14408273-14408321:+	dm6	0.270
GF_000227.002	FBgn0053481	chr4:252659-252710:-	dm6	0.090
GF_000227.002	FBgn0053512	chr3R:11539907-11539979:-	dm6	0.270
GF_000227.002	FBgn0260995	chr2R:3066587-3066626:+	dm6	0.090
GF_000227.002	WBGene00006985	chrIII:13119859-13119913:+	ce11	0.640
GF_000227.003	FBgn0040726	chr2R:20726045-20726211:+	dm6	0.270
GF_000227.003	FBgn0052057	chr3L:10156353-10156564:-	dm6	0.270
GF_000227.003	FBgn0052600	chrX:14425187-14425356:+	dm6	0.270
GF_000227.003	FBgn0053481	chr4:252055-252170:-	dm6	0.090
GF_000227.003	FBgn0053512	chr3R:11539101-11539255:-	dm6	0.090
GF_000227.003	FBgn0260995	chr2R:3066677-3066882:+	dm6	0.090
GF_000227.003	WBGene00006985	chrIII:13125392-13125534:+	ce11	0.570
GF_000229.001	ENSG00000066044	chr19:7961398-7961612:-	hg38	0.070
GF_000229.001	ENSG00000066044	chr19:7967565-7967790:-	hg38	0.640
GF_000229.001	ENSG00000107105	chr9:23701379-23701604:-	hg38	0.500
GF_000229.001	ENSG00000162374	chr1:50195561-50195786:+	hg38	0.360
GF_000229.001	ENSG00000196361	chr19:11458061-11458286:-	hg38	0.210
GF_000229.001	FBgn0010263	chr2L:2962586-2962865:+	dm6	0.450
GF_000229.001	FBgn0086675	chrX:12943513-12943756:+	dm6	0.550
GF_000229.001	WBGene00001368	chrII:9580062-9580353:+	ce11	0.500
GF_000229.002	ENSG00000066044	chr19:7963486-7963807:-	hg38	0.360
GF_000229.002	ENSG00000107105	chr9:23692560-23692884:-	hg38	0.360
GF_000229.002	ENSG00000162374	chr1:50200851-50201175:+	hg38	0.210
GF_000229.002	ENSG00000196361	chr19:11454529-11454856:-	hg38	0.210
GF_000229.002	FBgn0010263	chr2L:2963225-2963383:+	dm6	0.280
GF_000229.002	FBgn0086675	chrX:12945166-12945487:+	dm6	0.720
GF_000229.002	WBGene00001368	chrII:9580920-9581075:+	ce11	0.300
GF_000229.003	ENSG00000066044	chr19:7973725-7973878:-	hg38	0.330
GF_000229.003	ENSG00000107105	chr9:23704918-23705071:-	hg38	0.250
GF_000229.003	ENSG00000162374	chr1:50193765-50193918:+	hg38	0.330
GF_000229.003	ENSG00000196361	chr19:11458458-11458611:-	hg38	0.250
GF_000229.003	FBgn0010263	chr2L:2961739-2961996:+	dm6	0.170
GF_000229.003	WBGene00001368	chrII:9579800-9579953:+	ce11	0.720
GF_000229.004	ENSG00000066044	chr19:7981083-7981186:-	hg38	0.300
GF_000229.004	ENSG00000107105	chr9:23731022-23731125:-	hg38	0.300
GF_000229.004	ENSG00000162374	chr1:50177089-50177192:+	hg38	0.300
GF_000229.004	ENSG00000196361	chr19:11466172-11466275:-	hg38	0.300
GF_000229.004	WBGene00001368	chrII:9579193-9579296:+	ce11	0.750
GF_000229.005	ENSG00000066044	chr19:7991644-7991815:-	hg38	0.140
GF_000229.005	ENSG00000107105	chr9:23762006-23762234:-	hg38	0.210
GF_000229.005	FBgn0010263	chr2L:2961231-2961672:+	dm6	0.140
GF_000229.005	FBgn0086675	chrX:12942658-12942847:+	dm6	0.140
GF_000229.005	WBGene00001368	chrII:9578289-9578466:+	ce11	0.190
GF_000229.006	ENSG00000107105	chr9:23693448-23693486:-	hg38	0.300
GF_000229.006	ENSG00000162374	chr1:50197429-50197467:+	hg38	0.300
GF_000229.006	ENSG00000196361	chr19:11457110-11457148:-	hg38	0.300
GF_000229.006	FBgn0086675	chrX:12944293-12944337:+	dm6	0.640
GF_000229.007	FBgn0024987	chrX:1371308-1371370:+	dm6	0.300
GF_000229.007	FBgn0264270	chrX:7087614-7087640:-	dm6	0.100
GF_000229.007	WBGene00001368	chrII:9576308-9576367:+	ce11	0.330
GF_000230.001	AT1G01780	chr1:283813-284079:+	araTha10	0.050
GF_000230.001	ENSG00000197893	chr10:113621869-113622180:-	hg38	0.050
GF_000230.002	AT1G10200	chr1:3347629-3347763:-	araTha10	0.050
GF_000230.002	AT3G55770	chr3:20703799-20703933:+	araTha10	0.050
GF_000230.002	ENSG00000133816	chr11:12162156-12162419:+	hg38	0.080
GF_000230.003	AT3G55770	chr3:20704591-20704611:+	araTha10	0.050
GF_000230.003	ENSG00000133816	chr11:12259241-12259253:+	hg38	0.050
GF_000230.004	AT1G01780	chr1:282919-283053:+	araTha10	0.040
GF_000230.004	AT2G45800	chr2:18858873-18859007:-	araTha10	0.040
GF_000230.004	AT3G61230	chr3:22665366-22665503:-	araTha10	0.080
GF_000230.004	ENSG00000050405	chr12:50200777-50200842:-	hg38	0.120
GF_000230.004	ENSG00000183091	chr2:151692059-151692166:-	hg38	0.040
GF_000230.005	ENSG00000002834	chr17:38870190-38870258:+	hg38	0.140
GF_000230.005	ENSG00000197893	chr10:113663811-113663882:-	hg38	0.140
GF_000230.005	FBgn0063485	chr3L:16710943-16711011:-	dm6	0.250
GF_000230.006	ENSG00000002834	chr17:38878086-38878180:+	hg38	0.120
GF_000230.006	ENSG00000050405	chr12:50248633-50248751:-	hg38	0.040
GF_000230.006	ENSG00000197893	chr10:113663352-113663446:-	hg38	0.170
GF_000230.006	FBgn0063485	chr3L:16694202-16694296:-	dm6	0.250
GF_000230.006	WBGene00018367	chrIII:8484158-8484327:+	ce11	0.110
GF_000230.007	ENSG00000002834	chr17:38890420-38890504:+	hg38	0.140
GF_000230.007	WBGene00018367	chrIII:8484378-8484462:+	ce11	0.140
GF_000230.008	ENSG00000002834	chr17:38898412-38898519:+	hg38	0.140
GF_000230.008	ENSG00000183091	chr2:151717416-151717520:-	hg38	0.140
GF_000230.008	WBGene00018367	chrIII:8484987-8485079:+	ce11	0.250
GF_000230.009	ENSG00000002834	chr17:38918605-38918775:+	hg38	0.050
GF_000230.009	ENSG00000183091	chr2:151485763-151485933:-	hg38	0.140
GF_000230.009	FBgn0063485	chr3L:16678182-16678358:-	dm6	0.170
GF_000230.010	AT2G39900	chr2:16660028-16660264:+	araTha10	0.040
GF_000230.010	AT3G55770	chr3:20704876-20705112:+	araTha10	0.040
GF_000230.010	ENSG00000050405	chr12:50222260-50222485:-	hg38	0.120
GF_000230.010	FBgn0034180	chr2R:17010263-17010535:-	dm6	0.040
GF_000230.011	ENSG00000100139	chr22:37932553-37932679:+	hg38	0.050
GF_000230.011	ENSG00000183091	chr2:151493353-151493445:-	hg38	0.050
GF_000230.011	FBgn0034180	chr2R:17010053-17010194:-	dm6	0.080
GF_000230.012	ENSG00000100139	chr22:37932798-37932888:+	hg38	0.050
GF_000230.012	ENSG00000164877	chr7:1437890-1437980:-	hg38	0.050
GF_000230.012	ENSG00000243156	chr22:17791202-17791301:-	hg38	0.050
GF_000230.012	FBgn0034180	chr2R:17008846-17008942:-	dm6	0.120
GF_000230.013	ENSG00000133816	chr11:12226171-12226370:+	hg38	0.050
GF_000230.013	ENSG00000243156	chr22:17889034-17889230:-	hg38	0.050
GF_000230.013	FBgn0034180	chr2R:17011614-17011816:-	dm6	0.080
GF_000230.014	ENSG00000136490	chr17:63698555-63698711:-	hg38	0.050
GF_000230.014	FBgn0250819	chr4:1188189-1188349:+	dm6	0.050
GF_000230.015	ENSG00000136490	chr17:63698799-63698875:-	hg38	0.050
GF_000230.015	FBgn0250819	chr4:1187735-1187880:+	dm6	0.050
GF_000230.016	ENSG00000243156	chr22:17790946-17791071:-	hg38	0.050
GF_000230.016	WBGene00012891	chrIV:13766993-13767197:+	ce11	0.050
GF_000230.017	AT3G55770	chr3:20704411-20704500:+	araTha10	0.050
GF_000230.017	ENSG00000243156	chr22:17819022-17819129:-	hg38	0.050
GF_000230.018	ENSG00000002834	chr17:38914325-38914475:+	hg38	0.050
GF_000230.018	WBGene00018367	chrIII:8485127-8485223:+	ce11	0.050
GF_000230.019	ENSG00000197893	chr10:113645825-113645941:-	hg38	0.050
GF_000230.019	WBGene00020530	chrIII:5289059-5289133:+	ce11	0.050
GF_000231.001	ENSG00000099337	chr19:38319951-38320272:+	hg38	0.100
GF_000231.001	ENSG00000173338	chr11:65595454-65595772:-	hg38	0.200
GF_000231.001	FBgn0259242	chrX:6484163-6484319:-	dm6	0.100
GF_000231.001	FBgn0260971	chrX:4899121-4899452:+	dm6	0.200
GF_000231.002	ENSG00000135750	chr1:233649941-233650049:+	hg38	0.170
GF_000231.002	FBgn0259242	chrX:6483794-6483923:-	dm6	0.170
GF_000231.002	WBGene00006678	chrIV:11508041-11508182:+	ce11	0.100
GF_000231.002	WBGene00006685	chrV:17711882-17712004:-	ce11	0.100
GF_000231.003	ENSG00000173338	chr11:65593423-65593874:-	hg38	0.600
GF_000231.003	FBgn0259242	chrX:6467745-6468520:-	dm6	0.380
GF_000231.003	FBgn0260971	chrX:4903946-4904811:+	dm6	0.380
GF_000231.004	FBgn0259242	chrX:6484001-6484097:-	dm6	0.120
